Lat,Long,Type,Count,State
42.7298633527284,23.2951823393328,1100,3,ДОБРО,
42.7209706395566,23.3039413920024,110,1,ДОБРО,
42.7313585181768,23.3056491049574,110,1,ДОБРО,
42.7713710676591,23.313236137241,110,1,ДОБРО,
42.7216909037836,23.3069842939271,240,1,ДОБРО,
42.7729123363752,23.3179654939755,110,2,ДОБРО,
42.7752422816421,23.3140613054226,120,1,ДОБРО,
42.732268751544,23.301542117917,110,2,ДОБРО,
42.7297062065475,23.2961494763426,1100,2,ДОБРО,
42.7298214684205,23.2991624359921,1100,2,ДОБРО,
42.7523305802171,23.3174184957346,110,5,ДОБРО,
42.7258035894711,23.2886477115915,110,1,ДОБРО,
42.7231452778758,23.3056204101301,110,1,ДОБРО,
42.7286858449093,23.2992372184973,1100,1,ДОБРО,
42.7277783294928,23.3032252620409,120,1,ДОБРО,
42.7722869575823,23.3131714310125,120,1,ДОБРО,
42.7232845460305,23.3055099230985,110,1,ДОБРО,
42.7707619171419,23.3174387312738,240,1,ДОБРО,
42.7292733332053,23.2995493900761,110,1,ДОБРО,
42.7714372503466,23.3163970301537,120,1,ДОБРО,
42.7288719970331,23.3018959775996,110,1,ДОБРО,
42.7285723539872,23.2986016687589,1100,4,ДОБРО,
42.7318779650012,23.2975958757493,120,1,ДОБРО,
42.730509005471,23.2969205917343,110,1,ДОБРО,
42.7201746742568,23.3047097986513,1100,1,ДОБРО,
42.732330730264,23.2987063916813,110,2,ДОБРО,
42.7305877245124,23.2968157664533,240,1,ДОБРО,
42.7333789846687,23.2960009828366,110,1,ДОБРО,
42.7198204584274,23.3068195102,1100,1,ДОБРО,
42.7734472742045,23.3174655146319,110,3,ДОБРО,
42.7752421450609,23.3142588302438,120,1,ДОБРО,
42.7309446137632,23.2946808000434,110,1,ДОБРО,
42.7304585720974,23.2968269240026,1100,1,ДОБРО,
42.7732460176445,23.3174745705729,120,2,ДОБРО,
42.7752433210035,23.3143396841395,240,1,ДОБРО,
42.7320978799143,23.2981069177543,120,1,ДОБРО,
42.7302276373175,23.2967002874243,1100,2,ДОБРО,
42.7531904968188,23.3169044658571,110,2,ДОБРО,
42.7214680745215,23.3036274009783,110 – СГУРИЯ,1,ДОБРО,
42.7329167891711,23.2985661827212,240,1,ДОБРО,
42.7310633893018,23.2964025574905,110,1,ДОБРО,
42.7728925626577,23.3178532582656,120,1,ДОБРО,
42.7211295089755,23.3049342102418,110,1,ДОБРО,
42.7307776283667,23.2972803353961,110,1,ДОБРО,
42.7199593723238,23.3063033918397,110 – СГУРИЯ,1,ДОБРО,
42.7294107368802,23.3003559340312,110,1,ДОБРО,
42.7307028616231,23.2967141337126,240,1,ДОБРО,
42.7254383823035,23.2924746645641,1100,2,ДОБРО,
42.7321016245929,23.3051544782936,1100,2,ДОБРО,
42.7715218389924,23.3102362973398,120,1,ДОБРО,
42.750471328635,23.3145406567009,120,2,ДОБРО,
42.7309039739557,23.2987885791241,1100,2,ДОБРО,
42.7686762560346,23.3086704714783,110,2,ДОБРО,
42.730625935903,23.2982686176478,1100,2,ДОБРО,
42.7205904451722,23.306617349261,240,1,ДОБРО,
42.7294405474898,23.2993573583581,110,1,ДОБРО,
42.7204399460534,23.3051889079942,110,2,ДОБРО,
42.7728585204623,23.3181268710858,240,3,ДОБРО,
42.728980682283,23.297862025199,1100,3,ДОБРО,
42.7756999638569,23.3131635834873,240,1,ДОБРО,
42.728925416459,23.2966498508257,1100,3,ДОБРО,
42.7734271755241,23.3115452147647,110,2,ДОБРО,
42.7486937402665,23.3168659764149,110,2,ДОБРО,
42.7221197869751,23.3027850474554,110 – СГУРИЯ,1,ДОБРО,
42.7713529887249,23.3192939816194,110,1,ДОБРО,
42.7301992878775,23.300432691882,1100,3,ДОБРО,
42.729562245179,23.2974742443434,1100,2,ДОБРО,
42.7207169078415,23.3047693419262,110,1,ДОБРО,
42.7327783104479,23.3023080620117,120,1,ДОБРО,
42.7734303936609,23.3128491509263,110,1,ДОБРО,
42.7291727345981,23.2955511812126,1100,3,ДОБРО,
42.7295345412234,23.2922584618044,1100,4,ДОБРО,
42.7733050115746,23.314494035127,110,1,ДОБРО,
42.7529708721842,23.3173275067091,110,2,ДОБРО,
42.7726978511213,23.3153648486692,110,2,ДОБРО,
42.7210041086656,23.3075051707345,110,1,ДОБРО,
42.7254780726581,23.293841182762,110,1,ДОБРО,
42.7302809253644,23.2904502309466,1100,2,ДОБРО,
42.7538238237185,23.3201763731285,110,4,ДОБРО,
42.729003626777,23.2901249081023,1100,3,ДОБРО,
42.7288614928417,23.2917732227826,1100,2,ДОБРО,
42.7216916320098,23.3058510833731,110 – СГУРИЯ,1,ДОБРО,
42.7286559493937,23.2918424446753,1100,2,ДОБРО,
42.7714346506534,23.3104197981121,120,2,ДОБРО,
42.7508464752926,23.3260165469434,110,2,ДОБРО,
42.7283754374115,23.2910930147808,1100,2,ДОБРО,
42.7295116180716,23.2897776269421,1100,2,ДОБРО,
42.7711699724309,23.3143425908403,110,2,ДОБРО,
42.7291911798555,23.2883272005274,1100,2,ДОБРО,
42.7289934311872,23.2885315767376,110,2,ДОБРО,
42.7222784082938,23.3045620661135,110,1,ДОБРО,
42.7752018493128,23.3144751839429,120,1,ДОБРО,
42.7715201144946,23.3093861287169,110,3,ДОБРО,
42.7270916792876,23.2881191935225,240,1,ДОБРО,
